P_GPa,Delta_d_meV,Tc_MF_K,ratio_2DkT,V_d_P_eV
0.0,26.5096,127.0891,4.8412,1.353200
0.5,26.4919,126.8858,4.8457,1.361048
1.0,26.4224,126.4432,4.8499,1.368268
1.5,26.2926,125.7215,4.8538,1.374765
2.0,26.0954,124.6877,4.8573,1.380455
2.5,25.8263,123.3200,4.8606,1.385278
3.0,25.4834,121.6104,4.8634,1.389203
3.5,25.0686,119.5681,4.8660,1.392244
4.0,24.5873,117.2195,4.8682,1.394455
4.5,24.0485,114.6070,4.8701,1.395937
5.0,23.4639,111.7853,4.8716,1.396828
5.5,22.8469,108.8162,4.8729,1.397293
6.0,22.2117,105.7638,4.8742,1.397509
6.5,21.5725,102.6898,4.8756,1.397653
7.0,20.9423,99.6504,4.8776,1.397887
7.5,20.3331,96.6957,4.8804,1.398348
8.0,19.7553,93.8695,4.8845,1.399150
8.5,19.2177,91.2105,4.8901,1.400377
9.0,18.7277,88.7534,4.8973,1.402089
9.5,18.2910,86.5292,4.9061,1.404325
10.0,17.9119,84.5654,4.9159,1.407109
10.5,17.5933,82.8841,4.9264,1.410450
11.0,17.3369,81.5012,4.9370,1.414348
11.5,17.1429,80.4256,4.9471,1.418796
12.0,17.0106,79.6582,4.9562,1.423778
12.5,16.9379,79.1932,4.9640,1.429275
13.0,16.9219,79.0191,4.9702,1.435265
13.5,16.9587,79.1205,4.9746,1.441723
14.0,17.0439,79.4790,4.9771,1.448623
14.5,17.1731,80.0748,4.9775,1.455940
15.0,17.3416,80.8871,4.9759,1.463645
15.5,17.5454,81.8950,4.9724,1.471714
16.0,17.7806,83.0782,4.9672,1.480121
16.5,18.0443,84.4169,4.9610,1.488844
17.0,18.3340,85.8926,4.9540,1.497863
17.5,18.6477,87.4875,4.9469,1.507160
18.0,18.9838,89.1847,4.9403,1.516722
18.5,19.3402,90.9673,4.9344,1.526531
19.0,19.7148,92.8184,4.9296,1.536571
19.5,20.1048,94.7202,4.9262,1.546819
20.0,20.5069,96.6538,4.9242,1.557246
20.5,20.9168,98.5988,4.9236,1.567816
21.0,21.3295,100.5327,4.9241,1.578480
21.5,21.7391,102.4306,4.9257,1.589178
22.0,22.1388,104.2645,4.9280,1.599836
22.5,22.5210,106.0030,4.9309,1.610366
23.0,22.8770,107.6109,4.9340,1.620664
23.5,23.1973,109.0485,4.9371,1.630608
24.0,23.4713,110.2710,4.9401,1.640061
24.5,23.6874,111.2288,4.9426,1.648866
25.0,23.8332,111.8682,4.9446,1.656853
25.5,23.8961,112.1334,4.9459,1.663847
26.0,23.8638,111.9704,4.9464,1.669672
26.5,23.7258,111.3322,4.9460,1.674176
27.0,23.4745,110.1855,4.9446,1.677244
27.5,23.1069,108.5171,4.9420,1.678824
28.0,22.6254,106.3383,4.9381,1.678946
28.5,22.0382,103.6862,4.9330,1.677725
29.0,21.3590,100.6200,4.9267,1.675362
29.5,20.6052,97.2145,4.9193,1.672125
30.0,19.7971,93.5516,4.9114,1.668323
