observable,model,P_GPa,residual
Tc_zero,linear,0.00,-9.5455
Tc_zero,linear,3.00,-5.1091
Tc_zero,linear,6.00,-0.6727
Tc_zero,linear,9.00,2.7636
Tc_zero,linear,12.00,6.2000
Tc_zero,linear,15.00,8.6364
Tc_zero,linear,18.00,9.0727
Tc_zero,linear,21.00,5.5091
Tc_zero,linear,24.00,-0.0545
Tc_zero,linear,27.00,-5.6182
Tc_zero,linear,30.00,-11.1818
Tc_zero,quadratic,0.00,1.7832
Tc_zero,quadratic,3.00,-0.5776
Tc_zero,quadratic,6.00,-1.4280
Tc_zero,quadratic,9.00,-1.7678
Tc_zero,quadratic,12.00,-0.5972
Tc_zero,quadratic,15.00,1.0839
Tc_zero,quadratic,18.00,2.2755
Tc_zero,quadratic,21.00,0.9776
Tc_zero,quadratic,24.00,-0.8098
Tc_zero,quadratic,27.00,-1.0867
Tc_zero,quadratic,30.00,0.1469
Tc_zero,saturating,0.00,1.1273
Tc_zero,saturating,3.00,-2.5939
Tc_zero,saturating,6.00,-1.6314
Tc_zero,saturating,9.00,0.4994
Tc_zero,saturating,12.00,3.6340
Tc_zero,saturating,15.00,6.2334
Tc_zero,saturating,18.00,7.0479
Tc_zero,saturating,21.00,3.9620
Tc_zero,saturating,24.00,-1.0778
Tc_zero,saturating,27.00,-6.0962
Tc_zero,saturating,30.00,-11.1047
Wtr,linear,0.00,1.0455
Wtr,linear,3.00,-0.1091
Wtr,linear,6.00,-0.2636
Wtr,linear,9.00,-0.4182
Wtr,linear,12.00,-0.5727
Wtr,linear,15.00,-0.7273
Wtr,linear,18.00,0.1182
Wtr,linear,21.00,-0.0364
Wtr,linear,24.00,0.8091
Wtr,linear,27.00,0.6545
Wtr,linear,30.00,-0.5000
Wtr,quadratic,0.00,0.6084
Wtr,quadratic,3.00,-0.2839
Wtr,quadratic,6.00,-0.2345
Wtr,quadratic,9.00,-0.2434
Wtr,quadratic,12.00,-0.3105
Wtr,quadratic,15.00,-0.4359
Wtr,quadratic,18.00,0.3804
Wtr,quadratic,21.00,0.1385
Wtr,quadratic,24.00,0.8382
Wtr,quadratic,27.00,0.4797
Wtr,quadratic,30.00,-0.9371
Wtr,saturating,0.00,1.0455
Wtr,saturating,3.00,-0.1091
Wtr,saturating,6.00,-0.2637
Wtr,saturating,9.00,-0.4182
Wtr,saturating,12.00,-0.5728
Wtr,saturating,15.00,-0.7273
Wtr,saturating,18.00,0.1181
Wtr,saturating,21.00,-0.0364
Wtr,saturating,24.00,0.8091
Wtr,saturating,27.00,0.6546
Wtr,saturating,30.00,-0.4998
